id,authors,year,venue,arxiv,domain,task,subjectivity,expertise,judge_models,comparator,metric,metric_family,agreement,human_baseline,parity,verdict,verdict_label,reliability_score,biases,n,synthesis_role,finding
thematic2025charity,Wen et al.,2025,AI & Society,s00146-025-02487-4,Qualitative Coding,classification-annotation,subjective,medium,GPT-4,researchers,pct_agreement,raw-agreement,,,approx,3,Mixed / task-dependent,3,—,,primary,Thematic analysis case study: GPT-4 accelerates coding with reasonable but imperfect theme overlap.
ner2024augment,Naraki et al.,2024,arXiv,2404.01334,Information Extraction (NER/NLI),classification-annotation,objective,medium,GPT-4,gold,f1,raw-agreement,,,approx,2,Promising (conditional),4,—,,primary,LLM pre-annotation + human refinement improves NER datasets cost-effectively (hybrid).
nli2024labeldist,Chen et al.,2024,arXiv,2412.13942,Information Extraction (NER/NLI),classification-annotation,mixed,medium,GPT-4,human label distributions,pearson,correlation,,,approx,2,Promising (conditional),4,—,,primary,LLM explanations are good proxies for human explanations to recover NLI label distributions.
humanllmcollab2024,Wang et al.,2024,CHI,3613904.3641960,Information Extraction (NER/NLI),classification-annotation,mixed,medium,LLM,human,pct_agreement,raw-agreement,,,approx,2,Promising (conditional),4,—,,primary,Collaborative annotation: verify LLM labels selectively to reach high quality at lower human cost.
mirzakhmedova2024argument,Mirzakhmedova et al.,2024,COMMA,2404.09696,Argument Quality,pointwise-scoring,subjective,high,GPT-4,argument experts,pct_agreement,raw-agreement,,,approx,3,Mixed / task-dependent,3,gender bias,,primary,"LLMs moderately agree with experts on argument quality and show HIGHER IAA than humans, but gender bias."
panickssery2024selfpref,Panickssery et al.,2024,NeurIPS,2404.13076,Methodology & Bias,pairwise-comparison,mixed,low,GPT-4;Llama-2,human-equal pairs,pct_agreement,raw-agreement,,,no,4,Caution / limited,2,self-preference;self-recognition,,primary,LLMs favor own generations even when humans rate them equal; self-recognition correlates with self-preference.
stureborg2024inconsistent,Stureborg et al.,2024,arXiv,2405.01724,Methodology & Bias,pointwise-scoring,mixed,low,GPT-3.5/4,gold,pct_agreement,raw-agreement,,,no,4,Caution / limited,2,familiarity(low-perplexity);skewed ratings;anchoring;low inter-sample agreement,,primary,LLM evaluators are inconsistent and biased; sensitive to trivial prompt changes.
koo2024cobbler,Koo et al.,2024,ACL-F,2309.17012,Methodology & Bias,pairwise-comparison,mixed,low,16 LLMs,human ranking,winrate_corr,correlation,0.44,,no,4,Caution / limited,2,order;egocentric;bandwagon;attentional;compassion-fade;verbosity,,primary,CoBBLEr: ~40% of comparisons biased; Rank-Biased Overlap with humans only 44%.
chen2024humansorllms,Chen et al.,2024,EMNLP,2402.10669,Methodology & Bias,pairwise-comparison,mixed,low,GPT-4;humans,perturbation probes,pct_agreement,raw-agreement,,,no,4,Caution / limited,2,misinformation-oversight;gender;authority;beauty,,primary,Both human AND LLM judges biased & attackable; cutting-edge judges still carry considerable bias.
feuer2024style,Feuer et al.,2024,arXiv,2409.15268,Methodology & Bias,pairwise-comparison,mixed,low,LLM judges,ground-truth capabilities,pct_agreement,raw-agreement,,,no,4,Caution / limited,2,style-over-substance;lenient on factual errors,,primary,Judges reward style/completeness; correctness & safety are weak predictors of their scores.
raina2024robust,Raina et al.,2024,arXiv,2402.14016,Methodology & Bias,pointwise-scoring,objective,low,FlanT5;ChatGPT,—,pct_agreement,raw-agreement,,,no,5,Unreliable,1,adversarial inflation (4-word universal phrase),,primary,Short universal adversarial phrases inflate judge scores; absolute scoring far less robust than comparative.
shankar2024validators,Shankar et al.,2024,UIST,2404.12272,Methodology & Bias,pointwise-scoring,subjective,low,LLM graders,developer prefs,pct_agreement,raw-agreement,,,no,3,Mixed / task-dependent,3,criteria drift,,primary,EvalGen: aligning LLM evaluators needs human grading; 'criteria drift' makes fixed rubrics insufficient.
temperature2026,Li et al.,2026,arXiv,2603.28304,Methodology & Bias,pointwise-scoring,mixed,low,LLM judges,self/gold,pct_agreement,raw-agreement,,,no,3,Mixed / task-dependent,3,non-determinism;temperature,,primary,"Temperature strongly governs judge consistency; low temp near-deterministic, high temp error surges."
justice2024prejudice,Ye et al.,2024,arXiv,2410.02736,Methodology & Bias,pairwise-comparison,mixed,low,LLM judges,attack probes,pct_agreement,raw-agreement,,,no,4,Caution / limited,2,12 bias types quantified,,primary,CALM framework quantifies 12 judge biases; even best judges show non-trivial attack success.
calderon2025alttest,Calderon et al.,2025,ACL,2501.10970,Methodology & Bias,classification-annotation,mixed,medium,6 LLMs (GPT-4o best),multiple humans (leave-one-out),pct_agreement,raw-agreement,,,approx,2,Promising (conditional),4,—,,primary,"alt-test: leave-one-out statistical test for justified replacement; LLMs sometimes pass, closed-source best."
bavaresco2024judgebench,Bavaresco et al.,2024,NAACL'25,2406.18403,Methodology & Bias,classification-annotation,mixed,medium,11 LLMs (GPT-4o best),human (expert+non-expert),kappa,chance-corrected,0.28,,no,3,Mixed / task-dependent,3,favors non-experts;favors human-written text;CoT no help,,secondary,"JUDGE-BENCH (20 tasks): GPT-4o categorical kappa 0.28+-0.32, graded rho 0.50+-0.21; NOT ready to replace humans."
judgesverdict2025,Han et al.,2025,arXiv,2510.09738,Methodology & Bias,pointwise-scoring,objective,low,54 LLMs,human,kappa,chance-corrected,,,approx,2,Promising (conditional),4,super-consistency,,secondary,Judge's Verdict: 27/54 judges reach Tier-1; some judge MORE consistently than typical humans (Turing test for judges).
imrit2026iaa,James et al.,2026,arXiv,2603.06865,Methodology & Bias,review,subjective,low,—,—,krippendorff_alpha,chance-corrected,,,n.r.,3,Mixed / task-dependent,3,metric-choice sensitivity,,secondary,"Guidance on IAA metric choice; subjective tasks (e.g., sarcasm) human alpha often <0.35 (low human ceiling)."
wang2023chatgptnlg,Wang et al.,2023,NewSum@AACL,2303.04048,General NLG,pointwise-scoring,subjective,low,ChatGPT,human/gold,spearman,correlation,,,approx,3,Mixed / task-dependent,3,task-dependent,,primary,ChatGPT as NLG evaluator correlates with humans on some tasks but trails fine-tuned metrics; preliminary.
shen2023notyet,Shen et al.,2023,EMNLP-F,2305.13091,Summarization,pointwise-scoring,subjective,medium,ChatGPT;GPT-3.5,human,spearman,correlation,,,no,4,Caution / limited,2,instability;below human level,,primary,"LLMs are NOT yet human-level evaluators for abstractive summarization; unstable, sensitive to setup."
xu2023instructscore,Xu et al.,2023,EMNLP,2305.14282,General NLG,pointwise-scoring,mixed,low,fine-tuned LLaMA,human,pearson,correlation,,,approx,2,Promising (conditional),4,—,,primary,INSTRUCTSCORE: explainable fine-tuned evaluator with diagnostic feedback; strong human correlation.
zhang2024newssumm,Zhang et al.,2024,TACL,2301.13848,Summarization,pointwise-scoring,subjective,medium,instruction-tuned LLMs,freelance writers,pct_agreement,raw-agreement,,,approx,2,Promising (conditional),4,low-quality references,,primary,Instruction-tuned LLM news summaries rated comparable to freelance-writer summaries by humans.
tang2023medevidence,Tang et al.,2023,npj Digital Medicine,10.1038/s41746-023-00896-7,Medicine & Clinical,pointwise-scoring,mixed,high,GPT-3.5/4,clinicians,pct_agreement,raw-agreement,,,no,4,Caution / limited,2,factual inconsistency;hallucination,,primary,LLM medical-evidence summaries show factual errors/hallucination on expert review; not yet reliable.
hackl2023reliablerater,Hackl et al.,2023,Frontiers in Education,10.3389/feduc.2023.1272229,Education & Grading,pointwise-scoring,subjective,medium,GPT-4,(intra-rater consistency),icc,correlation,,,approx,2,Promising (conditional),4,—,,primary,GPT-4 shows high intra-rater consistency rating student feedback across repeated runs (reliable rater).
grevisse2024asagmed,Grévisse,2024,BMC Medical Education,10.1186/s12909-024-06026-5,Education & Grading,classification-annotation,mixed,medium,LLMs,instructors,pct_agreement,raw-agreement,,,approx,2,Promising (conditional),4,—,,primary,LLM-based automatic short-answer grading usable in undergraduate medical education with oversight.
yancey2023cefr,Yancey et al.,2023,BEA@ACL,10.18653/v1/2023.bea-1.49,Education & Grading,pointwise-scoring,mixed,medium,GPT-4,human raters,qwk,chance-corrected,,,no,3,Mixed / task-dependent,3,—,,primary,GPT-4 rates short L2 essays on CEFR scale; few-shot approaches but stays below expert agreement.
floden2024gradingexams,Flodén,2024,Br. Educ. Res. J.,10.1002/berj.4069,Education & Grading,pointwise-scoring,subjective,medium,GPT-4,human graders,pct_agreement,raw-agreement,,,no,3,Mixed / task-dependent,3,diverges on nuance,,primary,Comparison of human vs LLM exam grading: correlated but systematic divergences on nuanced answers.
kortemeyer2023physics,Kortemeyer,2023,Phys. Rev. Phys. Educ. Res.,10.1103/physrevphyseducres.19.020163,Education & Grading,pointwise-scoring,objective,medium,GPT-4,instructor,pct_agreement,raw-agreement,,,approx,3,Mixed / task-dependent,3,partial-credit errors,,primary,AI grading of intro-physics solutions feasible but struggles with partial credit; needs oversight.
dubois2023alpacafarm,Dubois et al.,2023,NeurIPS,2305.14387,General NLG,pairwise-comparison,mixed,low,GPT-4 (sim. annotators),human pref,winrate_corr,correlation,0.98,,yes,2,Promising (conditional),4,—,,primary,"AlpacaFarm: simulated LLM-judge win-rates rank methods at ~0.98 correlation with human win-rates, 50x cheaper."
quah2024dentalaes,Quah et al.,2024,BMC Medical Education,10.1186/s12909-024-05881-6,Education & Grading,pointwise-scoring,mixed,medium,ChatGPT,examiners,icc,correlation,,,no,3,Mixed / task-dependent,3,—,,primary,ChatGPT essay scoring in dental exams: only moderate reliability vs examiners; not stand-alone.
gao2025nlgsurvey,Gao et al.,2025,Computational Linguistics,10.1162/coli_a_00561,Methodology & Bias,survey,mixed,low,—,—,,,,,n.r.,3,Mixed / task-dependent,3,—,,secondary,"Survey of LLM-based NLG evaluation: status, meta-evaluation methods, and open reliability challenges."
khondaker2023gptaraeval,Khondaker et al.,2023,EMNLP,2305.14976,Multilingual,classification-annotation,mixed,medium,ChatGPT,gold,f1,raw-agreement,,,no,4,Caution / limited,2,non-English degradation,,primary,GPTAraEval: ChatGPT lags dedicated/Arabic models across 44 Arabic NLP tasks (multilingual gap).
khademi2023bardassessment,Khademi,2023,J. Appl. Learn. Teach.,10.37074/jalt.2023.6.1.28,Education & Grading,pointwise-scoring,mixed,medium,ChatGPT;Bard,human,pct_agreement,raw-agreement,,,no,3,Mixed / task-dependent,3,—,,primary,ChatGPT/Bard assessment-item alignment shows only low-moderate reliability vs human standards.
zhuang2024beyondyesno,Zhuang et al.,2024,NAACL,10.18653/v1/2024.naacl-short.31,IR & Relevance,ranking,mixed,low,LLM rankers,human relevance,kendall,correlation,,,approx,2,Promising (conditional),4,—,,primary,Fine-grained relevance scoring (beyond yes/no) improves zero-shot LLM ranker agreement with humans.
alaofi2024fooledrelevant,Alaofi et al.,2024,SIGIR-AP,10.1145/3673791.3698431,IR & Relevance,classification-annotation,mixed,low,GPT-4-class,assessors,pct_agreement,raw-agreement,,,no,4,Caution / limited,2,keyword-stuffing/prompt-injection,,primary,LLM relevance labellers can be fooled by injected keywords to mark irrelevant docs relevant (robustness).
wang2025setesting,Wang et al.,2025,ACM TOSEM,10.1145/3728963,Code & SW Eng,pairwise-comparison,objective,medium,LLM judges,developers,pct_agreement,raw-agreement,,,no,3,Mixed / task-dependent,3,—,,primary,"Empirical study of LLM-as-a-judge in software testing: partial substitution, notable disagreement cases."
ollion2023mindhype,Ollion et al.,2023,Sociol. Methods Res.,10.31235/osf.io/x58kn,Social-Science Annotation,classification-annotation,mixed,medium,ChatGPT,human,pct_agreement,raw-agreement,,,no,4,Caution / limited,2,reproducibility;validity overstated,,primary,'Mind the Hype': cautions that ChatGPT annotation reliability is overstated; reproducibility/validity risks.
cegin2023paraphrases,Cegin et al.,2023,EMNLP,2305.12947,Social-Science Annotation,classification-annotation,mixed,low,ChatGPT,crowd,pct_agreement,raw-agreement,,,approx,3,Mixed / task-dependent,3,lower robustness diversity,,primary,ChatGPT paraphrases for intent classification: more diverse but less robust than crowdsourced ones.
song2024finesure,Song et al.,2024,ACL,2407.00908,Summarization,fact-verification,mixed,low,GPT-4,human,pct_agreement,raw-agreement,,,approx,2,Promising (conditional),4,—,,primary,FineSurE: fine-grained faithfulness/completeness/conciseness scoring correlates better with humans.
li2023hotchatgpt,Li et al.,2023,arXiv,2304.10619,Content Moderation & Toxicity,classification-annotation,subjective,medium,ChatGPT,human labels,pct_agreement,raw-agreement,,,approx,3,Mixed / task-dependent,3,inconsistency,,primary,'HOT' ChatGPT detects hateful/offensive/toxic content with fair human agreement but inconsistencies remain.
wang2024clinicalevent,Wang et al.,2024,J. Gastroenterol. Hepatol.,10.1111/jgh.16561,Medicine & Clinical,classification-annotation,objective,high,GPT-4,clinicians,pct_agreement,raw-agreement,,,approx,2,Promising (conditional),4,—,,primary,GPT-4 validated for structured clinical-event classification with high agreement vs clinicians.
croxford2025clinsummjudge,Croxford et al.,2025,npj Digital Medicine,10.1038/s41746-025-02005-2,Medicine & Clinical,pointwise-scoring,mixed,high,LLM judges,clinicians,pct_agreement,raw-agreement,,,no,3,Mixed / task-dependent,3,misses clinical errors,,primary,Using LLMs as judges for clinical AI summaries: partial alignment; can miss clinically important errors.
pan2024hcdjudge,Pan et al.,2024,HuCLLM@ACL,10.18653/v1/2024.hucllm-1.2,Methodology & Bias,pointwise-scoring,mixed,low,—,practitioners,,,,,n.r.,3,Mixed / task-dependent,3,—,,secondary,Human-centered design recommendations for deploying LLM-as-a-judge responsibly (with human oversight).
hua2025mhscoping,Hua et al.,2025,npj Digital Medicine,10.1038/s41746-025-01611-4,Mental Health,review,subjective,high,—,experts,,,,,n.r.,4,Caution / limited,2,validation gaps,,secondary,Scoping review of LLMs for generative mental-health tasks: validation and safety evaluation gaps remain.
gao2023humanlike,Gao et al.,2023,arXiv,2304.02554,Summarization,pointwise-scoring,subjective,low,ChatGPT,human,spearman,correlation,,,approx,3,Mixed / task-dependent,3,verbosity,,primary,Human-like summarization evaluation with ChatGPT; correlates with humans but sensitive to aspect/prompt.
luo2023factinconsistency,Luo et al.,2023,arXiv,2303.15621,Summarization,fact-verification,mixed,low,ChatGPT,human,pct_agreement,raw-agreement,,,approx,3,Mixed / task-dependent,3,—,,primary,ChatGPT as a factual-inconsistency evaluator for summarization; decent but below specialized metrics on some sets.
li2023coannotating,Li et al.,2023,EMNLP-F,2310.15638,Information Extraction (NER/NLI),classification-annotation,mixed,low,LLM,human,pct_agreement,raw-agreement,,,approx,2,Promising (conditional),4,—,,primary,"CoAnnotating allocates items between human and LLM by uncertainty, preserving quality at lower cost."
nasution2024chatgptlabel,Nasution & Onan,2024,IEEE Access,10.1109/access.2024.3402809,Information Extraction (NER/NLI),classification-annotation,mixed,low,ChatGPT,human,accuracy,raw-agreement,,,approx,3,Mixed / task-dependent,3,—,,primary,Compares human- vs LLM-generated annotations; LLM labels competitive on several text tasks.
aldeen2023chatgptvshuman,Aldeen et al.,2023,ICMLA,10.1109/icmla58977.2023.00089,Social-Science Annotation,classification-annotation,mixed,low,ChatGPT,human,accuracy,raw-agreement,,,no,3,Mixed / task-dependent,3,—,,primary,"Comprehensive ChatGPT-vs-human annotation analysis; strong on objective categories, weaker on subjective."
ronningstad2024gptannotator,Ronningstad et al.,2024,LAW@ACL,10.18653/v1/2024.law-1.13,Information Extraction (NER/NLI),classification-annotation,mixed,medium,LLM,human,f1,raw-agreement,,,no,3,Mixed / task-dependent,3,—,,primary,LLM entity-level sentiment annotation approaches but trails expert annotators.
qiu2025labelensemble,Qiu et al.,2025,arXiv,2501.08413,Information Extraction (NER/NLI),classification-annotation,mixed,low,LLM ensemble,human,accuracy,raw-agreement,,,approx,2,Promising (conditional),4,—,,primary,Language-model ensembles label free-text data near human quality with calibrated abstention.
niu2024text2emotion,Niu et al.,2024,Interspeech,2408.17026,Sentiment & Emotion,classification-annotation,subjective,low,LLMs,human,pct_agreement,raw-agreement,,,no,3,Mixed / task-dependent,3,subjectivity,,primary,LLM emotion annotation moderately agrees with humans; struggles with ambiguous/affective labels.
koptyra2023clarinemo,Koptyra et al.,2023,ICCS (LNCS),10.1007/978-3-031-35995-8_26,Sentiment & Emotion,classification-annotation,subjective,low,ChatGPT,human,pct_agreement,raw-agreement,,,no,3,Mixed / task-dependent,3,—,,primary,"CLARIN-Emo: ChatGPT emotion annotation usable, but human annotation remains superior for model training."
li2024stance,Li & Conrad,2024,arXiv,2406.07483,Social-Science Annotation,classification-annotation,mixed,low,LLM,human,pct_agreement,raw-agreement,,,approx,3,Mixed / task-dependent,3,—,,primary,Comparative analysis of LLM stance annotation in social media; competitive with crowd on clear cases.
nguyen2024crisismisinfo,Nguyen & Rudra,2024,WWW,10.1145/3589334.3648141,Content Moderation & Toxicity,classification-annotation,mixed,medium,ChatGPT,human,f1,raw-agreement,,,no,3,Mixed / task-dependent,3,—,,primary,Human vs ChatGPT annotation for crisis misinformation; LLM helps but interpretable human labels still differ.
leas2023contentanalysis,Leas et al.,2023,J. Med. Internet Res.,10.2196/52499,Qualitative Coding,classification-annotation,subjective,medium,ChatGPT,human,pct_agreement,raw-agreement,,,approx,3,Mixed / task-dependent,3,—,,primary,"ChatGPT supports content analysis with reasonable concordance; recommended as assistant, not replacement."
kaikaus2023financecorpora,Kaikaus et al.,2023,IEEE BigData,10.1109/bigdata59044.2023.10386425,Finance,classification-annotation,mixed,medium,ChatGPT,human,accuracy,raw-agreement,,,no,3,Mixed / task-dependent,3,—,,primary,Humans vs ChatGPT on financial-corpus annotation; ChatGPT trails experts on nuanced financial labels.
clarke2024cantreplace,Clarke & Dietz,2024,arXiv,2412.17156,IR & Relevance,classification-annotation,mixed,low,LLM,assessors,kappa,chance-corrected,,,no,4,Caution / limited,2,—,,primary,Argues LLM relevance assessment STILL cannot replace human assessors for reliable IR evaluation (counterpoint).
arabzadeh2025benchrelevance,Arabzadeh & Clarke,2025,arXiv,2504.12558,IR & Relevance,classification-annotation,mixed,low,LLM,assessors,kappa,chance-corrected,,,approx,3,Mixed / task-dependent,3,—,,primary,Benchmarks LLM relevance-judgment methods; agreement varies widely by method and prompt design.
lu2023erroranalysis,Lu et al.,2023,arXiv,2303.13809,Machine Translation,fact-verification,objective,medium,GPT,MQM experts,kendall,correlation,,,approx,2,Promising (conditional),4,—,,primary,"Error-analysis prompting yields human-like MT evaluation, improving correlation with MQM labels."
huang2024nlexpl,Huang et al.,2024,LREC-COLING,2403.17368,General NLG,pointwise-scoring,subjective,low,ChatGPT,human,pct_agreement,raw-agreement,,,approx,3,Mixed / task-dependent,3,scale sensitivity,,primary,"ChatGPT rates NL-explanation quality like humans, but agreement depends strongly on the rating scale."
guo2023howclose,Guo et al.,2023,arXiv,2301.07597,QA & Factuality,pointwise-scoring,mixed,medium,human experts,human experts,pct_agreement,raw-agreement,,,no,3,Mixed / task-dependent,3,—,,primary,HC3: experts compare ChatGPT vs human answers; gaps remain on helpfulness and factual depth.
doostmohammadi2024autoeval,Doostmohammadi et al.,2024,EMNLP-F,10.18653/v1/2024.findings-emnlp.367,General NLG,pointwise-scoring,mixed,low,LLM judges,human,pct_agreement,raw-agreement,,,no,3,Mixed / task-dependent,3,—,,primary,Automatic evaluation methods for instruction-tuned LLMs are only moderately reliable; method choice matters.
zhang2023widerdeeper,Zhang et al.,2023,arXiv,2308.01862,General NLG,pairwise-comparison,mixed,low,multi-LLM,human,pct_agreement,raw-agreement,,,approx,3,Mixed / task-dependent,3,—,,primary,Networks of collaborating/debating LLM evaluators are fairer and better-aligned than single judges.
zhu2024nationalitybias,Zhu et al.,2024,LREC-COLING,2405.06996,Methodology & Bias,pointwise-scoring,mixed,low,LLMs,human,pct_agreement,raw-agreement,,,no,4,Caution / limited,2,nationality bias,,primary,LLM evaluators exhibit nationality bias; overall quality good but not bias-free.
saito2023verbositybias,Saito et al.,2023,arXiv,2310.10076,Methodology & Bias,pairwise-comparison,mixed,low,LLMs,human,pct_agreement,raw-agreement,,,no,4,Caution / limited,2,verbosity/length,,primary,Quantifies verbosity bias in LLM preference labeling: longer answers favored independent of quality.
li2024splitmerge,Li et al.,2024,EMNLP,10.18653/v1/2024.emnlp-main.621,Methodology & Bias,pairwise-comparison,mixed,low,LLMs,human,pct_agreement,raw-agreement,,,approx,3,Mixed / task-dependent,3,position bias (mitigated),,primary,"Split-and-Merge aligns position biases in LLM evaluators, improving agreement with humans."
liu2024pairwisepref,Liu et al.,2024,arXiv,2403.16950,Methodology & Bias,pairwise-comparison,mixed,low,LLMs,human,pct_agreement,raw-agreement,,,approx,2,Promising (conditional),4,—,,primary,Pairwise preference aligns LLM evaluators with human judgement better than pointwise scoring.
liu2023trustworthy,Liu et al.,2023,arXiv,2308.05374,Methodology & Bias,survey,mixed,low,—,—,,,,,n.r.,3,Mixed / task-dependent,3,—,,secondary,Survey/guideline for evaluating LLM alignment dimensions; evaluation reliability among the key challenges.
voutsa2025biaseddesign,Voutsa et al.,2025,Applied Informatics,10.3390/ai6080178,Methodology & Bias,classification-annotation,mixed,low,LLMs,human,pct_agreement,raw-agreement,,,no,4,Caution / limited,2,design-induced bias,,primary,Evaluates bias and behavioral diversity in LLM annotation; systematic biases arise from design choices.
chung2025verifact,Chung et al.,2025,arXiv,2501.16672,Medicine & Clinical,fact-verification,mixed,high,LLM,clinicians+EHR,pct_agreement,raw-agreement,,,approx,3,Mixed / task-dependent,3,—,,primary,VeriFact verifies facts in LLM clinical text against the EHR; agreement with clinicians moderate-to-high.
kim2025emulate,Kim & Kim,2025,J. Med. Internet Res.,10.2196/63631,Medicine & Clinical,pointwise-scoring,mixed,high,LLM,human experts,pct_agreement,raw-agreement,,,no,3,Mixed / task-dependent,3,—,,primary,LLMs emulate human-expert evaluation with limited accuracy on nuanced health-communication judgments.
croxford2025autoeval,Croxford et al.,2025,medRxiv,10.1101/2025.04.22.25326219,Medicine & Clinical,pointwise-scoring,mixed,high,LLM judges,clinicians,pct_agreement,raw-agreement,,,no,3,Mixed / task-dependent,3,—,,primary,"Automating evaluation of healthcare AI text with an LLM judge; partial alignment, residual clinical error."
hou2024classroom,Hou et al.,2024,AIED,2404.15531,Education & Grading,pointwise-scoring,subjective,medium,multimodal LLM,human raters,icc,correlation,,,approx,3,Mixed / task-dependent,3,—,,primary,Automated multimodal assessment of classroom encouragement/warmth correlates moderately with human raters.
koraishi2024langassess,Koraishi,2024,Lang. Teach. Res. Q.,10.32038/ltrq.2024.43.02,Education & Grading,pointwise-scoring,mixed,medium,ChatGPT,human,pct_agreement,raw-agreement,,,approx,3,Mixed / task-dependent,3,—,,primary,Reliability study of GPT for language assessment; promising but requires human moderation.
haase2025creativitypeaked,Haase et al.,2025,J. Creativity,10.1016/j.yjoc.2025.100113,Creative Writing,pointwise-scoring,subjective,medium,LLMs,human,pct_agreement,raw-agreement,,,no,4,Caution / limited,2,—,,primary,Asks whether LLM creativity has peaked; human evaluation shows a plateau and divergence from human creativity.
rose2025rob,Rose et al.,2025,BMC Med. Res. Methodol.,10.1186/s12874-025-02631-0,Peer Review & Science,classification-annotation,objective,high,ChatGPT,reviewers,kappa,chance-corrected,,,no,3,Mixed / task-dependent,3,—,,primary,ChatGPT risk-of-bias assessment in RCTs partially agrees with human reviewers; not yet standalone.
thakur2024judgingjudges,Thakur et al.,2024,arXiv,2406.12624,Methodology & Bias,pairwise-comparison,mixed,low,LLM judges,human,pct_agreement,raw-agreement,,,no,3,Mixed / task-dependent,3,alignment gaps;vulnerabilities,,primary,Judging the Judges: LLM judges align moderately with humans but are vulnerable and inconsistent across setups.
hsu2023figurecaption,Hsu et al.,2023,EMNLP-F,10.18653/v1/2023.findings-emnlp.363,General NLG,pointwise-scoring,mixed,medium,GPT-4,human,spearman,correlation,,,approx,2,Promising (conditional),4,—,,primary,"GPT-4 is an effective zero-shot evaluator for scientific figure captions, correlating with expert ratings."
lai2023styletransfer,Lai et al.,2023,arXiv,2304.13462,General NLG,pointwise-scoring,subjective,low,ChatGPT,human,spearman,correlation,,,approx,3,Mixed / task-dependent,3,—,,primary,Multidimensional ChatGPT evaluation of text style transfer correlates with humans on some dimensions.
wang2024beyondagreement,Wang et al.,2024,EMNLP-F,10.18653/v1/2024.findings-emnlp.520,Education & Grading,pointwise-scoring,subjective,medium,LLM,human,qwk,chance-corrected,,,no,3,Mixed / task-dependent,3,rationale misalignment,,primary,Beyond Agreement: AES methods can match scores while misaligning on rationale -- agreement alone misleads.
wataoka2024selfpref,Wataoka et al.,2024,arXiv,2410.21819,Methodology & Bias,pairwise-comparison,mixed,low,LLM judges,human,pct_agreement,raw-agreement,,,no,4,Caution / limited,2,self-preference (perplexity-linked),,primary,"Self-preference bias: LLM judges favour outputs they assign lower perplexity, i.e., their own style."
frobe2025assessorsagree,Frobe et al.,2025,SIGIR,10.1145/3726302.3730218,IR & Relevance,classification-annotation,mixed,low,LLM assessors,human,kappa,chance-corrected,,,no,4,Caution / limited,2,homogeneity/correlated errors,,primary,"LLM relevance assessors agree with EACH OTHER more than with humans -- shared blind spots, not human alignment."
arabzadeh2025promptsens,Arabzadeh & Clarke,2025,arXiv,2504.12408,IR & Relevance,classification-annotation,mixed,low,LLM,human,kappa,chance-corrected,,,no,3,Mixed / task-dependent,3,prompt sensitivity,,primary,Human-AI analysis of prompt sensitivity in LLM relevance judgments: small prompt changes shift agreement.
lin2024wildbench,Lin et al.,2024,arXiv,2406.04770,General NLG,pairwise-comparison,mixed,low,GPT-4-class,Chatbot Arena humans,winrate_corr,correlation,0.98,,yes,2,Promising (conditional),4,length,,primary,WildBench: checklist-guided LLM-judge scores correlate ~0.98 with human Chatbot-Arena Elo on real-user tasks.
brake2024clinicalnote,Brake & Schaaf,2024,NAACL-F,10.18653/v1/2024.findings-naacl.25,Medicine & Clinical,pointwise-scoring,mixed,high,LLM,clinicians,pct_agreement,raw-agreement,,,no,3,Mixed / task-dependent,3,—,,primary,Is an LLM a useful evaluator for clinical note generation? Partially; misses some clinically salient errors.
mehta2025qualgenai,Mehta et al.,2025,Scientific Reports,10.1038/s41598-025-18969-w,Qualitative Coding,classification-annotation,subjective,medium,LLMs,researchers,pct_agreement,raw-agreement,,,approx,3,Mixed / task-dependent,3,—,,primary,Evaluation of LLMs in qualitative research: useful coding support with moderate agreement; human oversight needed.
ahmad2025moralmachine,Ahmad & Takemoto,2025,PLoS ONE,10.1371/journal.pone.0322776,Social-Science Annotation,classification-annotation,subjective,low,LLMs,human (Moral Machine),pct_agreement,raw-agreement,,,no,3,Mixed / task-dependent,3,value misalignment,,primary,Large-scale Moral Machine on LLMs: LLM moral judgments partly track human preferences but deviate systematically.
hu2025trainjudge,Hu et al.,2025,arXiv,2502.02988,Methodology & Bias,pointwise-scoring,mixed,low,trained LLM judge,human,pct_agreement,raw-agreement,,,approx,2,Promising (conditional),4,—,,primary,Practical pipeline for training an LLM-as-a-judge; fine-tuning improves human alignment over prompting alone.
kholodna2024activelearning,Kholodna et al.,2024,arXiv,2404.02261,Information Extraction (NER/NLI),classification-annotation,mixed,low,LLM,human,f1,raw-agreement,,,approx,2,Promising (conditional),4,—,,primary,"LLMs-in-the-loop: LLM annotations drive active learning, cutting human labeling while retaining accuracy."
li2024pedants,Li et al.,2024,EMNLP-F,10.18653/v1/2024.findings-emnlp.548,QA & Factuality,fact-verification,objective,low,LLM,human,pct_agreement,raw-agreement,,,yes,2,Promising (conditional),4,—,,primary,PEDANTS: interpretable answer-equivalence judging for QA matches human judgments far better than exact match.
shopovski2025peerreview,Shopovski et al.,2025,Preprints.org,10.20944/preprints202502.0058.v1,Peer Review & Science,pointwise-scoring,mixed,high,ChatGPT,human reviewers,pct_agreement,raw-agreement,,,no,3,Mixed / task-dependent,3,—,,primary,"Comparative analysis of ChatGPT vs human peer review: overlap on broad points, divergence on technical depth."
